taxon,S1,S2,S3,S4,S5
S1,0.000000,0.070551,0.331069,0.492890,0.685179
S2,0.070551,0.000000,0.355922,0.517743,0.188486
S3,0.331069,0.355922,0.000000,0.304099,0.970550
S4,0.492890,0.517743,0.304099,0.000000,1.132371
S5,0.685179,0.188486,0.970550,1.132371,0.000000
