taxon,S1,S2,S3,S4,S5
S1,0.000000,0.120257,0.633424,0.633424,0.411980
S2,0.120257,0.000000,0.633424,0.633424,0.411980
S3,0.633424,0.633424,0.000000,0.304099,0.633424
S4,0.633424,0.633424,0.304099,0.000000,0.633424
S5,0.411980,0.411980,0.633424,0.633424,0.000000
