taxon,S1,S2,S3,S4,S5
S1,0.000000,0.069685,0.000000,0.069685,0.473531
S2,0.069685,0.000000,0.069685,0.000000,0.473531
S3,0.000000,0.069685,0.000000,0.069685,0.473531
S4,0.069685,0.000000,0.069685,0.000000,0.473531
S5,0.473531,0.473531,0.473531,0.473531,0.000000
