taxon,S1,S2,S3,S4,S5
S1,0.000000,-0.083445,0.240716,0.121468,0.188486
S2,-0.083445,0.000000,0.059624,-0.059624,0.392188
S3,0.240716,0.059624,0.000000,0.000000,0.716349
S4,0.121468,-0.059624,0.000000,0.000000,0.597102
S5,0.188486,0.392188,0.716349,0.597102,0.000000
