taxon,S1,S2,S3,S4,S5
S1,0.000000,0.120257,0.000000,0.158482,0.188486
S2,0.120257,0.000000,0.000000,0.000000,0.188486
S3,0.000000,0.000000,0.000000,0.000000,1.076313
S4,0.158482,0.000000,0.000000,0.000000,0.440840
S5,0.188486,0.188486,1.076313,0.440840,0.000000
